quarter,industry1,industry2,industry3,retrench,retrench_permanent,retrench_term_contract
2001-Q4,services,financial services,insurance,70,70,-
2001-Q4,services,real estate and leasing services,real estate and leasing services,30,30,-
2001-Q4,services,professional services,"legal, accounting and management services",260,220,40
2001-Q4,services,professional services,architectural and engineering services,90,80,10
2001-Q4,services,professional services,other professional services,90,90,-
2001-Q4,services,administrative and support services,administrative and support services,40,40,10
2001-Q4,services,"community, social and personal services",education,-,-,-
2001-Q4,services,"community, social and personal services","health, social and community services",20,20,-
2001-Q4,services,"community, social and personal services","other community, social and personal services",70,70,-
2001-Q4,others,others,others,80,80,-
2002-Q1,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",10,10,-
2002-Q1,manufacturing,paper products and printing,paper products and printing,60,60,-
2002-Q1,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",50,50,-
2002-Q1,manufacturing,rubber and plastic products,rubber and plastic products,160,140,10
2002-Q1,manufacturing,fabricated metal products,fabricated metal products,350,340,10
2002-Q1,manufacturing,machinery and equipment,machinery and equipment,270,250,10
2002-Q1,manufacturing,electrical products,electrical products,320,320,-
2002-Q1,manufacturing,electronic products,electronic products,560,550,-
2002-Q1,manufacturing,medical and precision instruments,medical and precision instruments,40,40,-
2002-Q1,manufacturing,transport equipment,transport equipment,20,20,-
2002-Q1,manufacturing,other manufacturing industries,other manufacturing industries,190,180,-
2002-Q1,construction,construction,construction,310,240,70
2002-Q1,services,wholesale and retail trade,wholesale trade,540,530,20
2002-Q1,services,wholesale and retail trade,retail trade,100,100,-
2002-Q1,services,transport and storage,land transport and supporting services,30,20,10
2002-Q1,services,transport and storage,water transport and supporting services,100,70,30
2002-Q1,services,transport and storage,air transport and supporting services,-,-,-
2002-Q1,services,transport and storage,other transport and storage services,50,50,-
2002-Q1,services,hotels and restaurants,hotels,70,70,-
2002-Q1,services,hotels and restaurants,restaurants,80,80,-
2002-Q1,services,information and communications,broadcasting and publishing,190,180,10
2002-Q1,services,information and communications,telecommunications,220,220,-
2002-Q1,services,information and communications,it and other information services,190,180,10
2002-Q1,services,financial services,financial institutions,830,820,10
2002-Q1,services,real estate and leasing services,real estate and leasing services,40,40,-
2002-Q1,services,professional services,"legal, accounting and management services",100,80,30
2002-Q1,services,professional services,architectural and engineering services,50,40,-
2002-Q1,services,professional services,other professional services,50,50,-
2002-Q1,services,administrative and support services,administrative and support services,20,10,10
2002-Q1,services,"community, social and personal services",education,-,-,-
2002-Q1,services,"community, social and personal services","health, social and community services",-,-,-
2002-Q1,services,"community, social and personal services","other community, social and personal services",100,90,20
2002-Q1,others,others,others,-,-,-
2002-Q2,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",20,20,-
2002-Q2,manufacturing,paper products and printing,paper products and printing,110,110,-
2002-Q2,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",60,60,-
2002-Q2,manufacturing,rubber and plastic products,rubber and plastic products,130,130,-
2002-Q2,manufacturing,fabricated metal products,fabricated metal products,160,160,-
2002-Q2,manufacturing,machinery and equipment,machinery and equipment,80,80,10
2002-Q2,manufacturing,electrical products,electrical products,230,230,-
2002-Q2,manufacturing,electronic products,electronic products,650,360,290
2002-Q2,manufacturing,medical and precision instruments,medical and precision instruments,20,20,-
2002-Q2,manufacturing,transport equipment,transport equipment,100,20,90
2002-Q2,manufacturing,other manufacturing industries,other manufacturing industries,170,170,10
2002-Q2,construction,construction,construction,250,210,40
2002-Q2,services,wholesale and retail trade,wholesale trade,440,440,10
2002-Q2,services,wholesale and retail trade,retail trade,70,60,10
2002-Q2,services,transport and storage,land transport and supporting services,-,-,-
2002-Q2,services,transport and storage,water transport and supporting services,60,60,-
2002-Q2,services,transport and storage,air transport and supporting services,10,10,-
2002-Q2,services,transport and storage,other transport and storage services,60,60,-
2002-Q2,services,hotels and restaurants,hotels,90,80,10
2002-Q2,services,hotels and restaurants,restaurants,40,40,-
2002-Q2,services,information and communications,broadcasting and publishing,10,10,-
2002-Q2,services,information and communications,telecommunications,90,90,-
2002-Q2,services,information and communications,it and other information services,320,320,-
2002-Q2,services,financial services,financial institutions,940,940,-
2002-Q2,services,financial services,insurance,60,60,-
2002-Q2,services,real estate and leasing services,real estate and leasing services,90,90,-
2002-Q2,services,professional services,"legal, accounting and management services",110,80,40
2002-Q2,services,professional services,architectural and engineering services,30,30,-
2002-Q2,services,professional services,other professional services,50,50,-
2002-Q2,services,administrative and support services,administrative and support services,30,30,-
2002-Q2,services,"community, social and personal services",education,-,-,-
2002-Q2,services,"community, social and personal services","health, social and community services",-,-,-
2002-Q2,services,"community, social and personal services","other community, social and personal services",40,40,-
2002-Q2,others,others,others,50,50,-
2002-Q3,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",10,10,-
2002-Q3,manufacturing,paper products and printing,paper products and printing,190,190,-
2002-Q3,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",60,60,-
2002-Q3,manufacturing,rubber and plastic products,rubber and plastic products,160,160,-
2002-Q3,manufacturing,fabricated metal products,fabricated metal products,440,430,10
2002-Q3,manufacturing,machinery and equipment,machinery and equipment,110,110,-
2002-Q3,manufacturing,electrical products,electrical products,-,-,-
2002-Q3,manufacturing,electronic products,electronic products,1150,1140,-
2002-Q3,manufacturing,medical and precision instruments,medical and precision instruments,-,-,-
2002-Q3,manufacturing,transport equipment,transport equipment,40,40,10
2002-Q3,manufacturing,other manufacturing industries,other manufacturing industries,90,90,-
2002-Q3,construction,construction,construction,140,120,20
2002-Q3,services,wholesale and retail trade,wholesale trade,460,450,10
2002-Q3,services,wholesale and retail trade,retail trade,20,20,-
2002-Q3,services,transport and storage,land transport and supporting services,10,10,-
2002-Q3,services,transport and storage,water transport and supporting services,30,30,-
2002-Q3,services,transport and storage,air transport and supporting services,10,10,-
2002-Q3,services,transport and storage,other transport and storage services,40,40,-
2002-Q3,services,hotels and restaurants,hotels,80,80,-
2002-Q3,services,hotels and restaurants,restaurants,30,30,-
2002-Q3,services,information and communications,broadcasting and publishing,70,70,-
2002-Q3,services,information and communications,telecommunications,90,90,-
2002-Q3,services,information and communications,it and other information services,140,130,10
2002-Q3,services,financial services,financial institutions,450,450,-
2002-Q3,services,financial services,insurance,20,20,-
2002-Q3,services,real estate and leasing services,real estate and leasing services,10,10,-
2002-Q3,services,professional services,"legal, accounting and management services",240,230,-
2002-Q3,services,professional services,architectural and engineering services,50,50,-
2002-Q3,services,professional services,other professional services,40,40,-
2002-Q3,services,administrative and support services,administrative and support services,50,40,10
2002-Q3,services,"community, social and personal services",education,-,-,-
2002-Q3,services,"community, social and personal services","health, social and community services",-,-,-
2002-Q3,services,"community, social and personal services","other community, social and personal services",20,20,10
2002-Q3,others,others,others,110,20,100
2002-Q4,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",30,30,-
2002-Q4,manufacturing,paper products and printing,paper products and printing,80,80,-
2002-Q4,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",80,80,-
2002-Q4,manufacturing,rubber and plastic products,rubber and plastic products,260,220,40
2002-Q4,manufacturing,fabricated metal products,fabricated metal products,480,480,-
2002-Q4,manufacturing,machinery and equipment,machinery and equipment,530,520,10
